15:14:03 0, 7709 MiB 1, 0 MiB 
15:14:13 0, 7883 MiB 1, 0 MiB 
15:14:23 0, 7915 MiB 1, 0 MiB 
15:14:33 0, 7943 MiB 1, 0 MiB 
15:14:43 0, 7943 MiB 1, 0 MiB 
15:14:53 0, 0 MiB 1, 0 MiB 
15:15:04 0, 4 MiB 1, 0 MiB 
15:15:14 0, 4 MiB 1, 0 MiB 
15:15:24 0, 435 MiB 1, 0 MiB 
15:15:34 0, 435 MiB 1, 0 MiB 
15:15:44 0, 435 MiB 1, 0 MiB 
15:15:54 0, 435 MiB 1, 0 MiB 
15:16:04 0, 435 MiB 1, 0 MiB 
15:16:15 0, 435 MiB 1, 0 MiB 
15:16:25 0, 435 MiB 1, 0 MiB 
15:16:35 0, 435 MiB 1, 0 MiB 
15:16:45 0, 7709 MiB 1, 0 MiB 
15:16:55 0, 7709 MiB 1, 0 MiB 
15:17:05 0, 7883 MiB 1, 0 MiB 
15:17:15 0, 7909 MiB 1, 0 MiB 
15:17:25 0, 0 MiB 1, 0 MiB 
15:17:36 0, 0 MiB 1, 0 MiB 
15:17:46 0, 4 MiB 1, 0 MiB 
15:17:56 0, 855 MiB 1, 0 MiB 
15:18:06 0, 855 MiB 1, 0 MiB 
15:18:16 0, 855 MiB 1, 0 MiB 
15:18:26 0, 855 MiB 1, 0 MiB 
15:18:37 0, 855 MiB 1, 0 MiB 
15:18:47 0, 855 MiB 1, 0 MiB 
15:18:57 0, 855 MiB 1, 0 MiB 
15:19:07 0, 855 MiB 1, 0 MiB 
15:19:17 0, 855 MiB 1, 0 MiB 
15:19:27 0, 855 MiB 1, 0 MiB 
15:19:38 0, 8129 MiB 1, 0 MiB 
15:19:48 0, 8129 MiB 1, 0 MiB 
15:19:58 0, 15553 MiB 1, 0 MiB 
15:20:08 0, 15627 MiB 1, 0 MiB 
15:20:18 0, 7883 MiB 1, 0 MiB 
15:20:28 0, 7883 MiB 1, 0 MiB 
15:20:38 0, 7943 MiB 1, 0 MiB 
15:20:48 0, 7943 MiB 1, 0 MiB 
15:20:59 0, 7943 MiB 1, 0 MiB 
15:21:09 0, 7943 MiB 1, 0 MiB 
15:21:19 0, 7943 MiB 1, 0 MiB 
15:21:29 0, 0 MiB 1, 0 MiB 
15:21:39 0, 0 MiB 1, 0 MiB 
15:21:49 0, 0 MiB 1, 0 MiB 
15:21:59 0, 0 MiB 1, 0 MiB 
15:22:10 0, 0 MiB 1, 0 MiB 
15:22:20 0, 0 MiB 1, 0 MiB 
15:22:30 0, 0 MiB 1, 0 MiB 
15:22:40 0, 0 MiB 1, 0 MiB 
15:22:50 0, 0 MiB 1, 0 MiB 
15:23:00 0, 0 MiB 1, 0 MiB 
15:23:10 0, 0 MiB 1, 0 MiB 
15:23:21 0, 0 MiB 1, 0 MiB 
15:23:31 0, 0 MiB 1, 0 MiB 
15:23:41 0, 0 MiB 1, 0 MiB 
15:23:51 0, 0 MiB 1, 0 MiB 
15:24:01 0, 0 MiB 1, 0 MiB 
15:24:11 0, 0 MiB 1, 0 MiB 
15:24:21 0, 0 MiB 1, 0 MiB 
15:24:31 0, 0 MiB 1, 0 MiB 
15:24:42 0, 0 MiB 1, 0 MiB 
15:24:52 0, 0 MiB 1, 0 MiB 
15:25:02 0, 0 MiB 1, 0 MiB 
15:25:12 0, 0 MiB 1, 0 MiB 
15:25:22 0, 0 MiB 1, 0 MiB 
15:25:32 0, 0 MiB 1, 0 MiB 
15:25:42 0, 0 MiB 1, 0 MiB 
15:25:53 0, 0 MiB 1, 0 MiB 
